1white_f_1,1white_f_2,POLO NS.5000 WHITE,เสื้อโปโลหญิง รหัส NS.5000 สีขาว,380 ฿,#,NO.0020 T-SHIRT PRODUCT,สินค้าเสื้อยืดรหัส NO.0020,5red_garnet_f_1,POLO SHIRT NO.5000,ชนิดผ้า 20 ค้อม จุติเก้ลาคอส,S,S,"*เสื้อขนาด 3XL และ 4XL ผลิตเฉพาะเสื้อีขาว,สีดำและสีท็อปดราย เท่านั้น"
2yellow_topaz_f_1,2yellow_topaz_f_2,POLO NS.5000 YELLOW TOPAZ,เสื้อโปโลหญิง รหัส NS.5000 สีเหลืองบุษราคัม,380 ฿,#,break,break,10gray_melange_f_1,break,100% Cotton,81,"32""",*ราคาดังกล่าว เป็นราคาปลีกต่อคัวเท่านั้น<br> หากลูกค้าต้องการราคาพิเศษ โปรดติดต่อเจ้าหน้าที่ได้โดยตรง
3orange_songea_f_1,3orange_songea_f_2,POLO NS.5000 ORANGE SONGEA,เสื้อโปโลหญิง รหัส NS.5000 สีส้มซองเจีย,380 ฿,#,,,6amethyst_f_1,,break,62,"24.5""",break
4pink_diamond_f_1,4pink_diamond_f_2,POLO NS.5000 PINK DIAMOND,เสื้อโปโลหญิง รหัส NS.5000 สีบานเย็นไดมอนด์,380 ฿,#,,,12black_f_1,,,380.-,380.-,
5red_garnet_f_1,5red_garnet_f_2,POLO NS.5000 RED GARNET,เสื้อโปโลหญิง รหัส NS.5000 สีแดงโกเมน,380 ฿,#,,,9blue_topaz_f_1,,,newrow,newrow,
6amethyst_f_1,6amethyst_f_2,POLO NS.5000 AMETHYST,เสื้อโปโลหญิง รหัส NS.5000 สีม่วงอาเมทิส,380 ฿,#,,,break,,,M,M,
7blue_sapphire_f_1,7blue_sapphire_f_2,POLO NS.5000 BLUE SAPPHIRE,เสื้อโปโลหญิง รหัส NS.5000 สีน้ำเงินซัฟไฟร์,380 ฿,#,,,,,,86,"34""",
8green_peridot_f_1,8green_peridot_f_2,POLO NS.5000 GREEN PERIDOT,เสื้อโปโลหญิง รหัส NS.5000 สีเขียวดำริโดต์,380 ฿,#,,,,,,64.5,"25.5""",
9blue_topaz_f_1,9blue_topaz_f_2,POLO NS.5000 BLUE TOPAZ,เสื้อโปโลหญิง รหัส NS.5000 สีฟ้าโทปาส,380 ฿,#,,,,,,380.-,380.-,
10gray_melange_f_1,10gray_melange_f_2,POLO NS.5000 GRAY MELANGE,เสื้อโปโลหญิง รหัส NS.5000 สีท็อปดราย,380 ฿,#,,,,,,newrow,newrow,
11dark_navy_blue__f_1,11dark_navy_blue__f_2,POLO NS.5000 DARK NAVY BLUE,เสื้อโปโลหญิง รหัส NS.5000 สีกรมเข้ม,380 ฿,#,,,,,,L,L,
12black_f_1,12black_f_2,POLO NS.5000 BLACK,เสื้อโปโลหญิง รหัส NS.5000 สีดำ,380 ฿,#,,,,,,91,"36""",
break,break,break,break,break,break,,,,,,67,"26.5""",
,,,,,,,,,,,380.-,380.-,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,XL,XL,
,,,,,,,,,,,99,"39""",
,,,,,,,,,,,70,27.5,
,,,,,,,,,,,380.-,380.-,
,,,,,,,,,,,break,break,
