1white_1,1white_2,t-shirt ov.101 white,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีขาว,199 ฿,#,OV.101 T-SHIRT PRODUCT,สินค้าเสื้อยืดรหัส OV.101,7maroon_1,T-SHIRT OV.101,ชนิดผ้า 32 เซมิ Jersey,S,S,*ราคาดังกล่าว เป็นราคาปลีกต่อคัวเท่านั้น<br> หากลูกค้าต้องการราคาพิเศษ โปรดติดต่อเจ้าหน้าที่ได้โดยตรง
2yellow_1,2yellow_2,t-shirt ov.101 yellow father's day,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีเหลือวันพ่อ,199 ฿,#,break,break,12navy_1,break,100% Cotton,81,"32""",break
3caramel_1,3caramel_2,t-shirt ov.101 espresso,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีเอสเปรสโซ,199 ฿,#,,,3caramel_1,,break,66,"26""",
4orange_1,4orange_2,t-shirt ov.101 orange,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีส้ม,199 ฿,#,,,1white_1,,,199.-,199.-,
5pink_1,5pink_2,t-shirt ov.101 magenta,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีบานเย็น,199 ฿,#,,,14_top_1,,,newrow,newrow,
6red_1,6red_2,t-shirt ov.101 orange,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีแดงอมส้ม,199 ฿,#,,,break,,,M,M,
7maroon_1,7maroon_2,t-shirt ov.101 maroon,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีเลือดหมู,199 ฿,#,,,,,,91,"36""",
8deep_blue_1,8deep_blue_2,t-shirt ov.101 royal blue,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีรอยัลบลู,199 ฿,#,,,,,,68.5,"27""",
9mint_1,9mint_2,t-shirt ov.101 mint,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีเขียวมิ้นต์,199 ฿,#,,,,,,199.-,199.-,
10blue_1,10blue_2,t-shirt ov.101 deep sky blue,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีฟ้าสด,199 ฿,#,,,,,,newrow,newrow,
11gray_1,11gray_2,t-shirt ov.101 dark grey,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีเทาเข้ม,199 ฿,#,,,,,,L,L,
12navy_1,12navy_2,t-shirt ov.101 dark navy blue,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีกรมเข้ม,199 ฿,#,,,,,,101,"40""",
13black_1,13black_2,t-shirt ov.101 black,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีดำ,199 ฿,#,,,,,,71,"28""",
14_top_1,14_top_2,t-shirt ov.101 grey melange,เสื้อยืดแฟชั่นคอกลม รหัส OV.101 สีท็อปดราย,199 ฿,#,,,,,,199.-,199.-,
break,break,break,break,break,break,,,,,,newrow,newrow,
,,,,,,,,,,,XL,XL,
,,,,,,,,,,,111,"44""",
,,,,,,,,,,,73.5,"29""",
,,,,,,,,,,,259.-,259.-,
,,,,,,,,,,,newrow,newrow,
,,,,,,,,,,,2XL,2XL,
,,,,,,,,,,,121,"48""",
,,,,,,,,,,,76,"30""",
,,,,,,,,,,,259.-,259.-,
,,,,,,,,,,,break,break,
